Item,Part Changed,Options,Part1,Part2
,,Royal green,0,4
,,Royal purple,0,5
,,Clothes,0,8
2a06  Lamp,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
,The Lamp Shade,Royal Blue,0,1
,,Royal pink,0,2
,,Royal red,0,3
,,Royal green,0,4
,,Royal purple,0,5
,,Clothes,0,8
2a07  Clock,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a08  Bookcase,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a09  Vanity,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a0a  Wall Lamp,The Body Color,Royal Blue,4,0
,,Royal pink,8,0
,,Royal red,0c,0
,,Royal green,10,0
,,Royal purple,14,0
2a0b  Bed,The Frame,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
,The Bedding,Pink,0,1
,,Clothes,0,8
2a0c  Bureau,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a0d  Wardrobe,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a0e  Chair,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a0f  Bench,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a10  Table,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
,The Tablecloth,Pink,0,1
,,Clothes,0,8
2a11  Bookcase,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a12  Cabinet,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a13  Clock,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a14  Dresser,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a15  Wall Shelf,The Wood Color,Sapphire,2c,0
,,Light blue,4,0
,,Dark blue,8,0
2a16  Bed,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
,The Bedding,Yellow,0,1
,,Clothes,0,8
2a17  Dresser,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a18  Wardrobe,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a19  Chair,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a1a  Armchair,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
,The Seat,Yellow,0,1
,,Clothes,0,8
2a1b  Table,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a1c  Lamp,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a1d  Bookcase,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a1e  Vanity,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a1f  Screen,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a20  Wall Radio,The Wicker Color,Gold Nugget,20,0
,,Colorful,4,0
2a21 Green Bed,The Frame,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
,The Bedding,Green,0,1
,,Purple,0,2
,,Clothes,0,8
2a22 Green Dresser,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
,The Cloth,Green,0,1
,,Purple,0,2
,,Clothes,0,8
2a23 Green Wardrobe,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
2a24 Green Chair,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
,The Cushion,Green,0,1
,,Purple,0,2
,,Clothes,0,8
2a25 Green Bench,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
2a26 Green Table,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
,The Tablecloth,Green,0,1
,,Purple,0,2
,,Clothes,0,8
2a27 Green Desk,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
2a28 Green Lamp,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
,The Lamp Shade,Green,0,1
,,Purple,0,2
,,Clothes,0,8
2a29 Green Counter,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
2a2a Green Pantry,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
2a2b Green Wall Clock,The Wood Color,Emerald Ore,30,0
,,Light green,4,0
,,Deep green,8,0
,,Grass green,0c,0
,The Clock Face,Green,0,1
,,Purple,0,2
,,Clothes,0,8
2a2c  Bed,The Frame,Patchy tree,4,0
,,Birch tree,8,0
,The Bedding,Green,0,1
,,Yellow,0,2
,,Clothes,0,8
2a2d  Dresser,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
,The Cloth,Green,0,1
,,Yellow,0,2
,,Clothes,0,8
2a2e  Wardrobe,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
2a2f  Chair,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
2a30  Armchair,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
,The Cushion,Green,0,2
,,Red,0,3
,,Clothes,0,8
,,Remove Fabric,0,1
2a31  Couch,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
,The set of cushions,Green,0,2
,,Red,0,3
,,Clothes,0,8
,,Remove Fabric,0,1
2a32  Table,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
,The Tablecloth,Green,0,1
,,Red,0,2
,,Clothes,0,8
2a33  Low Table,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
,The Tablecloth,Green,0,1
,,Red,0,2
,,Clothes,0,8
2a34  Bookcase,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
,The Cloth,Green,0,1
,,Pink,0,2
,,Clothes,0,8
2a35  Clock,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
2a36  Wall Clock,The Wood Material,Patchy tree,4,0
,,Birch tree,8,0
2a37  Bed,The Frame,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
,The Bedding,Red plaid,0,1
,,Blue plaid,0,2
,,Green plaid,0,3
,,Yellow plaid,0,4
,,Gray plaid,0,5
,,Clothes,0,8
2a38  Dresser,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a39  Wardrobe,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a3a  Chair,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a3b  Sofa,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a3c  End Table,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a3d  Desk,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
2a3e  Table,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a3f  Cabinet,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a40  Lamp,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
,The Lamp Shade,Red plaid,0,1
,,Blue plaid,0,2
,,Green plaid,0,3
,,Yellow plaid,0,4
,,Gray plaid,0,5
,,Clothes,0,8
2a41  Wall Clock,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Red tone,4,0
,,Blue tone,8,0
,,Green tone,0c,0
,,Yellow tone,10,0
,,Gray tone,14,0
2a42  Bed,The Frame,Fruit colored,4,0
,,Pastel colored,8,0
,The Bedding,Fruit colored,0,1
,,Pastel colored,0,2
,,Clothes,0,8
2a43  Dresser,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a44  Wardrobe,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a45  Couch,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a46  Chair,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
,The Cushion,Colorful,0,1
,,Fruit colored,0,2
,,Pastel colored,0,3
,,Clothes,0,8
2a47  Table,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
,The Tablecloth,Fruit colored,0,1
,,Pastel colored,0,2
,,Clothes,0,8
2a48  Bureau,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a49  Bookcase,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a4a  Clock,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a4b  Stereo,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a4c  Wall Clock,The Body Color,Fruit colored,4,0
,,Pastel colored,8,0
2a4d  Bed,The Frame,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
,The Bedding,Pink and black,0,1
,,Pink and white,0,2
,,Clothes,0,8
2a4e  Dresser,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
2a4f  Armoire,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
2a50  Chair,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
2a51  Love Seat,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
,The Set of Cushions,Pink and black,0,1
,,Pink and white,0,2
,,Clothes,0,8
2a52  End Table,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
,The Tablecloth,Pink and black,0,1
,,Pink and white,0,2
,,Clothes,0,8
2a53  Table,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
,The Tablecloth,Pink and black,0,1
,,Pink and white,0,2
,,Clothes,0,8
2a54  Vanity,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
2a55  Kitchen,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
2a56  Lamp,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
,The Lamp Shade,Pink and black,0,1
,,Pink and white,0,2
,,Clothes,0,8
2a57  Wall Clock,The Body Color,Ruby Ore,28,0
,,Pink and black,4,0
,,Pink and white,8,0
2a58  Bed,The Frame,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a59  Dresser,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a5a  Closet,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a5b  Sofa,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a5c  Chair,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a5d  Table,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a5e  Stereo,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a5f  TV,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a60  Clock,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a61  Lamp,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a62  Wall Clock,The Body Color,Red robot,4,0
,,Green robot,8,0
,,Black robot,0c,0
,,Blue robot,10,0
2a63  Bed,The Frame,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Bedding,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a64  Dresser,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Cloth and drawer,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a65  Closet,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Door,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a66  Chair,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Cushion,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a67  Sofa,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Set Of Cushions,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a68  Table,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Interior Cloth,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a69  Lamp,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Lamp Shade,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a6a  Stool,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Cushion,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a6b  Low Table,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Tablecloth,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2a6c  TV,The Body Color,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
2a6d  Clock,The Frame,Gold Nugget,20,0
,,Silver Nugget,24,0
,,Ruby Ore,28,0
,,Sapphire Ore,2c,0
,,Emerald Ore,30,0
,,Amethyst Ore,34,0
,,Soda blue,4,0
,,Cola brown,8,0
,,Melon float,0c,0
,,Caramel beige,10,0
,,Grape violet,14,0
,,Peach pink,18,0
,,Pop black,1c,0
,The Clock Face,Soda blue,0,1
,,Cola brown,0,2
,,Melon float,0,3
,,Caramel beige,0,4
,,Grape violet,0,5
,,Peach pink,0,6
,,Pop black,0,7
,,Clothes,0,8
2ae7  Bed,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2ae8  Sofa,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2ae9  Chair,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2aea  Dresser,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2aeb  Wardrobe,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2aec  Clock,The Clock Face Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2aed  Lamp,The Lamp Shade,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2aee  Ottoman,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2aef  Table,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2af0  Minitable,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2af1  Vanity,The Body Color,Moss green,4,0
,,Gray,8,0
,,Ash brown,0c,0
2dad  Sideboard,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2dae  Stereo,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2daf  Bed,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db0  Sofa,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db1  Chair,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db2  Dresser,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db3  Closet,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db4  Clock,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db5  Lamp,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db6  Table,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db7  Side Table,The Leather Color,Red,4,0
,,Purple,8,0
,,Holstein,0c,0
2db8   Bed,The Wood Pattern,Simple,4,0
,,Diamond,8,0
,The Futon Cover,Argyle,0,1
,,Square plaid,0,2
,,Clothes,0,8
2db9   Sofa,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dba   Chair,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dbb   Chest,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dbc   Closet,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dbd   Clock,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dbe   Lamp,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dbf   Stool,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dc0   Table,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dc1   Shelf,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dc2   TV,The Wood Pattern,Simple,4,0
,,Diamond,8,0
2dd9  Candlestick,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2dda  Bed,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2ddb  Shelf,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2ddc  Sofa,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2ddd  Chair,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2dde  Dresser,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2ddf  Wardrobe,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2de0  Clock,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2de1  Vanity,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2de2  Lamp,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
2de3  Table,The Body Color,Gothic yellow,4,0
,,Gothic black,8,0
,,Gothic white,0c,0
